"educ" "cigpric" "white" "age" "income" "cigs" "restaurn"
"167" 6 66.687 0 38 20000 40 1
"168" 10 66.437 1 52 20000 20 1
"173" 12 66.338 1 22 30000 16 1
"174" 12 61.546 1 54 20000 20 0
"175" 12 61.184 1 58 12500 40 0
"176" 10 62.012 1 27 12500 15 0
"177" 18 61.184 1 47 20000 40 0
"178" 16 62.012 1 53 30000 40 0
"179" 12 65.082 1 29 8500 10 0
"182" 8 69.402 0 67 30000 10 0
"187" 12 67.82 1 46 20000 30 0
"188" 16 67.82 0 50 12500 50 0
"195" 13.5 69.529 1 49 30000 60 0
"197" 10 68.833 0 23 2500 20 0
"198" 12 69.402 1 27 20000 15 0
"199" 18 68.39 1 28 30000 20 0
"200" 10 69.592 1 26 5500 30 0
"202" 13.5 69.402 1 54 30000 30 0
"204" 12 69.899 1 66 6500 13 0
"210" 13.5 68.39 1 57 30000 20 0
"217" 15 59.852 1 25 500 9 0
"219" 13.5 59.13 1 23 30000 15 0
"220" 16 59.233 1 30 20000 28 0
"221" 10 57.939 1 31 8500 40 0
"229" 12 59.43 1 31 20000 20 0
"230" 13.5 60.042 1 40 30000 50 0
"232" 15 59.676 1 23 5500 7 0
"235" 10 58.51 0 33 12500 20 0
"237" 12 57.835 1 31 8500 20 0
"240" 8 58.264 1 40 30000 20 0
"242" 18 59.492 1 45 30000 40 0
"244" 12 57.712 1 31 20000 30 0
"248" 12 58.264 0 22 30000 30 0
"250" 10 58.51 1 51 30000 5 0
"254" 13.5 59.246 1 35 30000 3 0
"255" 10 57.65 0 17 20000 15 0
"264" 13.5 59.614 1 26 20000 20 0
"265" 12 57.405 1 20 12500 15 0
"267" 12 59.614 1 35 30000 20 0
"269" 10 59.185 1 64 20000 20 0
"271" 12 58.694 1 47 20000 1 0
"272" 10 58.08 1 52 30000 20 0
"274" 16 58.448 1 26 20000 15 0
"278" 8 59.43 1 77 20000 1 0
"279" 13.5 58.141 1 24 4500 20 0
"280" 8 53.325 1 63 20000 20 0
"283" 13.5 54.381 0 62 12500 50 0
"285" 13.5 53.049 1 30 20000 20 0
"288" 10 52.819 1 51 30000 20 0
"291" 13.5 53.279 0 22 12500 40 0
"295" 8 53.233 1 21 20000 20 0
"297" 10 53.509 1 24 12500 20 0
"298" 12 53.325 1 34 20000 30 0
"299" 10 52.819 1 54 8500 6 0
"300" 18 58.142 1 50 20000 15 0
"301" 13.5 57.912 1 65 8500 20 0
"302" 12 56.9 1 33 20000 20 0
"304" 15 59.235 1 26 12500 30 0
"306" 12 56.9 1 59 30000 20 0
"307" 12 57.677 1 35 12500 20 0
"310" 12 55.596 0 28 20000 15 0
"311" 10 45.283 1 77 3500 30 0
"313" 10 45.561 1 52 4500 40 0
"314" 10 45.283 1 21 1500 30 0
"317" 12 45.839 1 31 8500 30 0
"320" 12 46.521 1 53 30000 30 0
"321" 12 58.149 1 32 12500 40 0
"325" 12 59.372 1 20 20000 15 0
"326" 8 56.904 1 69 12500 40 0
"327" 8 58.053 1 59 30000 20 0
"328" 12 57.069 1 56 30000 30 0
"330" 10 57.434 1 40 30000 40 0
"333" 13.5 58.795 1 28 30000 40 0
"336" 8 57.835 1 51 1500 20 0
"337" 12 58.795 1 33 30000 10 0
"339" 12 57.762 1 21 20000 20 0
"344" 16 58.885 1 28 20000 4 0
"346" 13.5 65.767 1 52 20000 20 0
"349" 12 67.115 1 39 20000 50 0
"350" 12 68.335 1 19 8500 10 0
"354" 8 65.767 1 54 30000 20 0
"355" 13.5 67.541 1 44 20000 25 0
"359" 10 65.838 1 54 30000 40 0
"360" 16 67.825 1 37 30000 30 0
"361" 13.5 66.548 1 22 30000 15 0
"363" 12 60.224 1 30 30000 30 1
"364" 12 60.224 1 19 30000 2 1
"368" 12 58.262 1 44 20000 20 1
"370" 12 60.522 1 37 12500 20 1
"373" 16 58.916 0 31 12500 20 1
"376" 16 59.867 1 28 20000 20 1
"381" 13.5 60.283 1 30 20000 3 1
"382" 13.5 58.737 1 58 30000 30 1
"383" 6 58.024 1 42 20000 10 1
"385" 10 60.436 1 18 12500 14 1
"386" 12 60.551 0 40 30000 20 1
"388" 12 60.224 1 64 8500 20 1
"389" 12 59.986 0 43 30000 20 1
"391" 16 58.797 1 36 30000 30 1
"392" 13.5 60.493 1 43 20000 20 1
"400" 18 61.498 0 29 30000 20 1
"409" 8 59.376 1 45 20000 8 0
"410" 12 59.621 1 19 30000 10 0
"412" 12 53.653 1 46 30000 25 0
"418" 13.5 57.485 1 54 30000 1 0
"419" 10 57.585 0 27 12500 30 0
"422" 6 56.979 1 69 2500 20 0
"427" 12 57.585 1 30 20000 2 0
"430" 12 59.653 1 21 3500 20 1
"433" 10 63.103 1 49 20000 18 0
"435" 8 55.007 1 54 12500 10 0
"436" 13.5 55.168 1 24 20000 20 0
"439" 10 53.879 1 28 8500 20 0
"441" 12 65.55 1 56 20000 40 0
"445" 10 65.605 1 20 20000 5 0
"446" 13.5 64.493 1 21 30000 10 0
"448" 13.5 64.549 1 28 12500 20 0
"450" 8 64.994 1 70 5500 20 0
"451" 12 66.328 1 32 12500 30 0
"452" 13.5 65.772 0 42 30000 40 0
"453" 10 65.161 1 17 30000 30 0
"456" 12 65.717 1 57 30000 60 0
"458" 13.5 65.717 1 29 12500 18 0
"459" 10 64.438 1 66 6500 20 0
"460" 13.5 64.382 1 62 30000 15 0
"461" 16 66.328 1 29 30000 40 0
"471" 10 64.994 1 24 12500 40 0
"477" 10 64.564 1 26 20000 19 0
"478" 8 64.192 0 85 20000 20 0
"481" 12 64.129 1 30 30000 20 0
"489" 12 62.61 1 22 12500 10 0
"491" 10 63.306 1 56 20000 40 0
"494" 12 64.002 1 28 12500 30 0
"497" 16 62.104 1 52 20000 20 0
"500" 13.5 61.85 1 54 30000 20 0
"501" 18 61.85 1 36 30000 40 0
"503" 13.5 62.42 0 23 12500 28 0
"504" 6 64.192 1 36 6500 5 0
"508" 13.5 62.99 1 45 30000 28 0
"509" 12 61.787 1 56 30000 30 0
"517" 13.5 64.065 1 26 12500 20 0
"520" 12 63.876 1 38 20000 20 0
"522" 16 62.04 1 41 20000 60 0
"523" 16 63.306 1 28 20000 20 0
"525" 10 63.179 1 44 8500 7 0
"527" 13.5 64.129 1 22 8500 15 0
"530" 10 63.053 1 59 20000 40 0
"532" 10 63.433 1 31 12500 20 0
"535" 10 62.104 0 78 12500 10 0
"542" 12 63.559 1 26 20000 30 0
"544" 12 64.129 1 38 3500 10 0
"545" 12 62.8 1 32 20000 30 0
"546" 10 61.724 1 27 3500 30 0
"549" 12 61.977 1 37 30000 20 0
"550" 10 64.651 0 60 12500 10 0
"551" 10 63.433 1 17 30000 11 0
"552" 16 64.564 1 28 20000 40 0
"553" 8 62.167 1 35 12500 40 0
"554" 10 64.002 1 40 8500 20 0
"560" 10 44.381 1 17 30000 30 0
"561" 13.5 47.648 0 40 30000 40 0
"562" 13.5 46.314 1 32 8500 10 0
"564" 10 46.659 1 58 20000 20 0
"566" 12 47.492 1 49 30000 20 0
"570" 12 57.352 1 66 6500 1 0
"571" 10 57.49 1 25 12500 20 0
"574" 6 57.168 1 28 3500 3 0
"576" 13.5 58.088 1 49 30000 20 0
"577" 12 57.536 1 39 20000 20 0
"578" 10 58.641 1 19 3500 9 0
"580" 18 58.181 1 37 20000 18 0
"583" 16 58.135 1 23 4500 1 0
"584" 10 56.846 1 45 20000 60 0
"585" 12 57.398 1 28 30000 40 0
"586" 12 59.151 1 20 30000 6 0
"591" 12 58.088 0 41 20000 10 0
"593" 10 57.398 1 19 30000 20 0
"596" 12 57.444 1 49 20000 20 0
"597" 12 59.048 1 29 3500 20 0
"599" 16 57.812 1 31 30000 60 0
"600" 10 57.904 1 17 20000 50 0
"603" 10 58.319 1 59 20000 30 0
"604" 13.5 56.984 1 25 30000 20 0
"605" 8 57.398 1 32 30000 60 0
"607" 13.5 58.737 1 61 6500 40 0
"609" 10 57.398 1 22 12500 25 0
"610" 12 57.49 1 24 6500 10 0
"617" 10 56.846 1 49 20000 30 0
"618" 13.5 57.444 1 29 8500 1 0
"619" 16 56.846 1 45 30000 33 0
"620" 18 60.873 1 43 30000 80 0
"623" 13.5 63.273 1 41 20000 20 0
"634" 12 60.974 1 31 3500 15 0
"636" 18 61.216 1 32 5500 10 0
"638" 12 61.751 1 40 8500 10 0
"641" 6 61.055 1 18 8500 11 0
"642" 8 61.081 0 46 12500 10 0
"647" 12 60.759 1 27 20000 2 0
"651" 12 61.885 1 30 3500 10 0
"654" 12 61.189 1 32 8500 20 0
"655" 10 61.189 1 17 20000 20 0
"659" 13.5 61.001 1 19 30000 10 0
"662" 12 61.229 1 54 20000 30 0
"663" 12 60.947 1 65 20000 20 0
"665" 12 61.001 1 29 30000 30 0
"666" 12 61.885 0 19 5500 8 0
"668" 12 61.256 1 26 12500 35 0
"669" 10 61.189 1 59 30000 20 0
"672" 6 60.826 1 69 6500 20 0
"677" 12 51.04 1 59 30000 30 0
"678" 10 51.04 1 38 20000 40 0
"680" 12 51.443 1 33 12500 50 0
"683" 6 59.996 0 49 30000 20 0
"685" 12 60.868 0 18 30000 20 0
"687" 18 60.803 1 35 12500 40 0
"693" 8 60.226 1 23 2500 10 0
"694" 12 59.996 1 44 30000 40 0
"699" 13.5 63.928 1 32 12500 4 0
"701" 10 63.145 1 55 20000 30 0
"705" 16 63.989 0 24 20000 25 0
"709" 16 62.57 1 50 8500 20 0
"713" 12 63.232 1 31 30000 20 0
"717" 12 62.541 1 65 8500 20 0
"718" 8 63.928 0 68 5500 15 0
"720" 12 62.656 0 29 20000 10 0
"725" 16 62.685 1 44 30000 40 0
"728" 12 63.577 1 61 4500 40 0
"730" 13.5 62.57 1 70 3500 12 0
"731" 6 63.692 1 49 5500 20 0
"733" 12 63.203 1 28 20000 15 0
"740" 12 63.232 1 38 30000 30 0
"752" 12 46.31 1 46 30000 10 0
"755" 12 47.346 1 47 20000 40 0
"757" 12 47.501 1 18 20000 5 0
"758" 12 47.346 1 37 12500 20 0
"760" 10 47.812 1 29 20000 20 0
"761" 18 46.466 1 60 30000 5 0
"763" 13.5 46.31 1 59 20000 15 0
"765" 12 48.545 1 19 30000 15 0
"766" 13.5 63.45 1 27 20000 6 0
"768" 12 63.113 1 63 30000 20 0
"770" 12 62.86 1 46 30000 20 0
"772" 13.5 62.227 1 20 20000 15 0
"775" 12 63.366 1 45 30000 55 0
"777" 6 63.282 1 70 4500 12 0
"783" 10 63.282 1 17 30000 2 0
"786" 16 63.838 1 30 20000 20 0
"788" 12 63.493 1 54 12500 30 0
"789" 12 63.838 1 41 30000 10 0
"791" 13.5 62.691 1 28 6500 20 0
"792" 13.5 62.185 1 26 20000 30 0
"796" 8 59.988 1 60 12500 15 0
"798" 12 60.707 1 52 20000 40 0
"799" 15 61.251 1 22 30000 5 0
"800" 10 60.036 1 38 20000 40 0
"803" 18 61.818 0 52 30000 20 0
"807" 10 59.652 1 47 30000 20 0
